OID_,Date,Place,,geo_longitude,geo_latitude,Name,Sex,Notes_and_sources_,F8,F9,F10,F11,F12
201,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Easty, Mary",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
202,1692,"Salem, MA",MA,-70.8967226,42.5195292,"English, Mary",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
203,1692,"Salem, MA",MA,-70.8967226,42.5195292,"English, Philip",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
204,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Good, Dorcas",f,"Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977) [Good, Dorothy? Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)]",,,,,
205,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Good, Sarah",f,Hanged (Wife of a common laborer) (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
206,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Hawkes, Margaret",f,"Examined. May be related to the Quaker Hawkes' of Marblehead? (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
207,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Hubbard, Elizabeth",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
208,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Indian John (or Indian, John)",f,"Tituba's Husband, and accused? (Source: Mitchaell, Roger, Witchcraft, the history and mythology. 1995).",,,,,
209,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, George (Jr)",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
210,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, George (Sr)",m,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
211,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, Margaret",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
212,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, Martha",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
213,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, Rebecca",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
214,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Lewis, Mercy",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
215,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Nurse, Rebecca",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
216,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Osborne, Sarah",f,"She died in prison in Boston. A Widow, she possessed a considerable estate. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977)",,,,,
217,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Parker, Alice",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
218,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Pease, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
219,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, Benjamin",m,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
220,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, Elizabeth",f,"Tried, Convicted, Plead Pregnancy. Sister of Mary de Rich and daughter of the Lynn Quaker, William Bassett Sr. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977, Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650- 1750)",,,,,
221,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, John",m,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
222,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
223,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, William",m,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
224,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Pudeator, Anne",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
225,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Riels, Mary de",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
226,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Somes, Abigail",f,"Examined. An Invalid. Sister of John Somes, a Boston Quaker. She is listed by some sources as a resident of Gloucester. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977 Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
227,1692,"Salem, MA",MA,-70.8967226,42.5195292,Tituba,f,"Tried, Held in Jail. Carib Indian Slave (sometimes refered to as a Negro slave) tried (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977)",,,,,
228,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Warren, Mary",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
229,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Warren, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
230,1692,"Salem, MA",MA,-70.8967226,42.5195292,"White, Mrs",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
231,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Willard, John",m,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
232,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Williams, Abigail",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
233,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Witheridge, Mary",f,"Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977) (aka Whittredge, Mary)",,,,,
245,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Flood, Capt John",m,"Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977, Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959 (The latter gives Romney Marsh as her home))",,,,,
246,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Howard, John",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
247,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Jackson, John (Jr)",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
248,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Jackson, John (Sr)",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
249,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Post, Hannah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
250,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Post, Mary",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
251,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Scott, Margaret",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
149,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Colson, Elizabeth",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
150,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Colson, Mary",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
151,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Dustin, Lydia",f,Examined. Died in prison. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
152,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Dustin, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
153,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Rice, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
154,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Taylor, Mary",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
258,1692,"Piscataqua, ME",ME,-70.7651084,43.0934089,"Dicer, Elizabeth",f,"Examined. Listed as the wife of a Seaman from Gloucester. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
259,1692,"Piscataqua, ME",ME,-70.7651084,43.0934089,"Hardy, Thomas",m,"Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977, Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959 (The latter gives his home as Great Island))",,,,,
253,1692,"Marblehead, MA",MA,-70.8578253,42.500096,"Reed, Wilmott",f,"(Aka """"Mammy Redd) Hanged. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman", Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts," 1650-1750)""""",,
77,1692,"Manchester, MA",MA,-71.4547891,42.9956397,"Emons, Joseph",m,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
78,1692,"Manchester, MA",MA,-71.4547891,42.9956397,"Frost, Nicholas",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
161,1692,"Malden, MA",MA,-71.066163,42.4250964,"Fosdick, Elizabeth",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
162,1692,"Malden, MA",MA,-71.066163,42.4250964,"Lilly, Jane",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
172,1692,"Lynn, MA",MA,-70.9494939,42.466763,"Bassett, Mary",f,"Examined. Maiden name Hood. Daughter-in-Law of a Lynn Quaker William Basset (Sr.) and wife of William Bassett (Jr) (Sources: Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
173,1692,"Lynn, MA",MA,-70.9494939,42.466763,"Bassett, Sarah",f,"Examined. (N.B. She is either the same as Mary Bassett, or possibly a daughter of William Bassett Sr.)(Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977)",,,,,
174,1692,"Lynn, MA",MA,-70.9494939,42.466763,"Cole, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
175,1692,"Lynn, MA",MA,-70.9494939,42.466763,"Derick, Mary",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
176,1692,"Lynn, MA",MA,-70.9494939,42.466763,"Derrill, Mary",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
177,1692,"Lynn, MA",MA,-70.9494939,42.466763,"Farrer, Thomas (Sr)",m,"(aka Farrar) Examined on charge of Wizardry (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
178,1692,"Lynn, MA",MA,-70.9494939,42.466763,"Hart, Elizabeth",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
179,1692,"Lynn, MA",MA,-70.9494939,42.466763,"Ireson, Mary",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
254,1692,"Ipswich, MA",MA,-70.8411612,42.6792602,"Abbott, Arthur",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
255,1692,"Ipswich, MA",MA,-70.8411612,42.6792602,"Clenton, Rachel",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
256,1692,"Ipswich, MA",MA,-70.8411612,42.6792602,"Downing, Mehitabel",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
257,1692,"Ipswich, MA",MA,-70.8411612,42.6792602,"Vinson, Rachael",f,"(aka """"Widow Vincent) Examined. Some sources suggests that she was from Gloucester. Her family had allegedly been implicated in an earlier witchcraft case? (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman", Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts," 1650- 1750)""""",,
278,1692,"Ipswich, MA",MA,-70.8416667,42.6791667,"Hatfield, Rachel",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
156,1692,"Haverhill, MA",MA,-71.0772796,42.7762015,"Clarke, Mary",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
157,1692,"Haverhill, MA",MA,-71.0772796,42.7762015,"Emerson, Martha",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
158,1692,"Haverhill, MA",MA,-71.0772796,42.7762015,"Green, Mary",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
159,1692,"Haverhill, MA",MA,-71.0772796,42.7762015,"Hutchins, Francis",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
160,1692,"Haverhill, MA",MA,-71.0772796,42.7762015,"Wilford, Ruth",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
260,1692,"Gloucester, MA",MA,-70.6619888,42.6159286,"Peney, Joan",f,"Examined. Impoverished widow (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
261,1692,"Gloucester, MA",MA,-70.6619888,42.6159286,"Prince, Margaret",f,"Examined. A Widow. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
262,1692,"Gloucester, MA",MA,-70.6619888,42.6159286,"Prince, Mary",f,"(May also be listed as Martha Prince) Daughter of Margaret Prince (Source: Robbins, Russell Hope. The Encyclopedia of Demonology and Witchcraft. New York: Bonanza Books, 1959; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
264,1692,"Gloucester, MA",MA,-2.2458192,51.8653705,"Day, Phoebe",f,"??? Daughter of Margaret Prince (Source: Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
265,1692,"Gloucester, MA",MA,-2.2458192,51.8653705,"Dike, Rebecca",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
